Time, Counts, Altitude (m), Pressure (hPa), RTC Temperature (C), MPL Temperature (C)
11:40:57, 56, 4455.87, 580.98, 232.75, -24.19
11:41:58, 45, 3976.44, 618.60, 232.75, -24.12
11:42:58, 44, 3502.62, 657.79, 233.00, -24.00
11:43:59, 28, 3058.75, 696.23, 233.25, -23.81
11:45:0, 37, 2630.37, 735.09, 233.50, -23.62
11:46:0, 29, 2210.31, 774.77, 233.75, -23.25
11:47:1, 12, 1802.38, 815.04, 234.25, -22.94
11:48:1, 18, 1377.50, 858.84, 234.75, -22.50
11:49:2, 17, 968.19, 902.66, 235.25, -22.00
11:50:2, 23, 526.69, 952.02, 235.75, -21.50
11:51:3, 11, 200.00, 989.79, 236.50, -20.87
11:52:4, 13, 81.56, 1003.59, 237.00, -20.37
11:53:4, 15, 84.69, 1003.32, 237.75, -19.75
11:54:5, 19, 84.44, 1003.35, 237.75, -19.12
11:55:5, 23, 84.19, 1003.28, 238.25, -18.50
11:56:6, 15, 83.62, 1003.43, 239.00, -17.75
11:57:7, 24, 85.87, 1003.16, 239.75, -17.06
11:58:7, 14, 86.81, 1003.06, 240.50, -16.37
11:59:8, 17, 87.44, 1002.94, 241.25, -15.63
12:0:8, 22, 87.75, 1002.91, 242.00, -14.94
12:1:9, 20, 89.12, 1002.71, 242.75, -14.19
12:2:9, 17, 90.50, 1002.66, 243.50, -13.50
12:3:10, 23, 90.62, 1002.60, 244.25, -12.75
12:4:11, 17, 91.94, 1002.34, 245.00, -12.06
12:5:11, 10, 90.81, 1002.56, 245.50, -11.38
12:6:12, 21, 92.75, 1002.34, 246.25, -10.69
12:7:12, 26, 92.12, 1002.33, 247.00, -10.00
12:8:13, 12, 92.06, 1002.42, 247.50, -9.31
12:9:13, 17, 93.00, 1002.33, 248.25, -8.69
12:10:14, 19, 95.00, 1002.03, 248.75, -8.06
12:11:15, 22, 95.56, 1002.00, 249.50, -7.44
12:12:15, 25, 95.56, 1002.05, 250.00, -6.88
12:13:16, 24, 95.94, 1001.98, 250.00, -6.31
12:14:16, 13, 95.31, 1002.02, 250.75, -5.75
12:15:17, 18, 96.00, 1001.97, 251.25, -5.19
12:16:17, 24, 94.94, 1001.95, 251.75, -4.63
12:17:18, 19, 96.25, 1001.89, 252.25, -4.06
12:18:19, 15, 96.25, 1001.91, 252.75, -3.56
12:19:19, 15, 97.81, 1001.72, 253.50, -3.06
12:20:20, 18, 97.69, 1001.77, 254.00, -2.56
12:21:20, 14, 96.75, 1001.82, 254.50, -2.06
12:22:21, 12, 97.12, 1001.82, 255.00, -1.56
12:23:21, 21, 97.75, 1001.67, 255.25, -1.12
12:24:22, 22, 98.50, 1001.64, 255.75, -0.69
12:25:23, 17, 98.19, 1001.63, 0.25, -0.25
12:26:23, 18, 97.87, 1001.66, 0.75, 0.25
12:27:24, 20, 97.62, 1001.69, 1.25, 0.63
12:28:24, 12, 98.06, 1001.63, 1.50, 1.06
12:29:25, 12, 98.44, 1001.59, 2.00, 1.50
12:30:25, 17, 99.37, 1001.43, 2.50, 1.88
12:31:26, 12, 99.37, 1001.55, 2.50, 2.25
12:32:27, 18, 98.31, 1001.61, 2.75, 2.63
12:33:27, 19, 99.12, 1001.47, 3.25, 2.94
12:34:28, 26, 99.69, 1001.51, 3.50, 3.31
12:35:28, 17, 99.75, 1001.53, 4.00, 3.63
12:36:29, 14, 98.81, 1001.56, 4.25, 4.00
12:37:29, 14, 98.75, 1001.56, 4.50, 4.31
12:38:30, 22, 100.06, 1001.40, 5.00, 4.63
12:39:31, 15, 100.50, 1001.34, 5.25, 4.94
