Time, Counts, MPL Altitude (m), GPS Altitude (m), Pressure (hPa), RTC Temperature (C), MPL Temperature (C)
10:33:45, 29, 3220.94, REMOVED FOR THIS FLIGHT, 681.87, 233.50, -23.37
10:34:46, 29, 2782.25, REMOVED FOR THIS FLIGHT, 721.08, 234.00, -23.06
10:35:46, 18, 2361.06, REMOVED FOR THIS FLIGHT, 760.41, 234.50, -22.69
10:36:47, 20, 1935.81, REMOVED FOR THIS FLIGHT, 801.71, 235.00, -22.19
10:37:47, 23, 1507.38, REMOVED FOR THIS FLIGHT, 845.30, 235.75, -21.69
10:38:48, 17, 1086.63, REMOVED FOR THIS FLIGHT, 889.78, 236.50, -21.06
10:39:48, 20, 604.44, REMOVED FOR THIS FLIGHT, 943.11, 237.25, -20.44
10:40:49, 15, 319.94, REMOVED FOR THIS FLIGHT, 975.54, 237.75, -19.81
10:41:50, 15, 320.31, REMOVED FOR THIS FLIGHT, 975.52, 238.50, -19.37
10:42:50, 21, 320.25, REMOVED FOR THIS FLIGHT, 975.44, 239.25, -18.75
10:43:51, 19, 320.94, REMOVED FOR THIS FLIGHT, 975.40, 240.00, -18.12
10:44:51, 22, 323.44, REMOVED FOR THIS FLIGHT, 975.18, 240.75, -17.50
10:45:52, 16, 323.38, REMOVED FOR THIS FLIGHT, 975.15, 241.50, -16.81
10:46:52, 11, 323.50, REMOVED FOR THIS FLIGHT, 975.05, 241.50, -16.12
10:47:53, 18, 323.88, REMOVED FOR THIS FLIGHT, 975.16, 242.25, -15.44
10:48:54, 14, 324.75, REMOVED FOR THIS FLIGHT, 975.03, 243.00, -14.69
10:49:54, 20, 325.38, REMOVED FOR THIS FLIGHT, 974.83, 243.75, -14.00
10:50:55, 23, 325.38, REMOVED FOR THIS FLIGHT, 974.97, 244.50, -13.25
10:51:55, 22, 326.56, REMOVED FOR THIS FLIGHT, 974.76, 245.25, -12.56
10:52:56, 32, 326.19, REMOVED FOR THIS FLIGHT, 974.80, 246.00, -11.81
10:53:56, 22, 327.06, REMOVED FOR THIS FLIGHT, 974.75, 246.75, -11.06
10:54:57, 16, 328.13, REMOVED FOR THIS FLIGHT, 974.64, 247.50, -10.38
10:55:58, 23, 327.88, REMOVED FOR THIS FLIGHT, 974.53, 248.25, -9.63
10:56:58, 12, 327.19, REMOVED FOR THIS FLIGHT, 974.65, 249.00, -8.94
10:57:59, 18, 329.19, REMOVED FOR THIS FLIGHT, 974.49, 249.50, -8.25
